slice,users,base@10,casp@10,net@10,gross@10,cannibal@10,ratio@10,base@50,casp@50,net@50,gross@50,cannibal@50,ratio@50,base@100,casp@100,net@100,gross@100,cannibal@100,ratio@100,base@500,casp@500,net@500,gross@500,cannibal@500,ratio@500,group
all,16954,3044,3044,0,0,0,,5319,5350,31,88,57,0.6477272727272727,6392,6438,46,83,37,0.4457831325301205,8816,8840,24,28,4,0.14285714285714285,target_oov_user_history
True,15383,1768,1768,0,0,0,,3872,3907,35,88,53,0.6022727272727273,4925,4973,48,83,35,0.42168674698795183,7303,7327,24,28,4,0.14285714285714285,target_oov_user_history
False,1571,1276,1276,0,0,0,,1447,1443,-4,0,4,,1467,1465,-2,0,2,,1513,1513,0,0,0,,target_oov_user_history
all,16954,3044,3044,0,0,0,,5319,5350,31,88,57,0.6477272727272727,6392,6438,46,83,37,0.4457831325301205,8816,8840,24,28,4,0.14285714285714285,target_oov_pre_history
True,16576,2845,2845,0,0,0,,5058,5093,35,88,53,0.6022727272727273,6115,6163,48,83,35,0.42168674698795183,8496,8520,24,28,4,0.14285714285714285,target_oov_pre_history
False,378,199,199,0,0,0,,261,257,-4,0,4,,277,275,-2,0,2,,320,320,0,0,0,,target_oov_pre_history
all,16954,3044,3044,0,0,0,,5319,5350,31,88,57,0.6477272727272727,6392,6438,46,83,37,0.4457831325301205,8816,8840,24,28,4,0.14285714285714285,target_right_new_global_pre
False,12591,2350,2350,0,0,0,,4080,4113,33,82,49,0.5975609756097561,4991,5036,45,78,33,0.4230769230769231,6825,6847,22,26,4,0.15384615384615385,target_right_new_global_pre
True,4363,694,694,0,0,0,,1239,1237,-2,6,8,1.3333333333333333,1401,1402,1,5,4,0.8,1991,1993,2,2,0,0.0,target_right_new_global_pre
all,16954,3044,3044,0,0,0,,5319,5350,31,88,57,0.6477272727272727,6392,6438,46,83,37,0.4457831325301205,8816,8840,24,28,4,0.14285714285714285,opened
1,8855,1839,1839,0,0,0,,2990,3021,31,88,57,0.6477272727272727,3573,3619,46,83,37,0.4457831325301205,4840,4864,24,28,4,0.14285714285714285,opened
0,8099,1205,1205,0,0,0,,2329,2329,0,0,0,,2819,2819,0,0,0,,3976,3976,0,0,0,,opened
